i (mA/cm2),eta_a,eta_c,eta_ohmic,Eload
-4.984836297340775e-05,-0.25,0.49714744243247455,-1.2462090743351937e-08,3.2589761703302464
-4.7154482944782895e-05,-0.2450000000000001,0.49200974218413973,-1.1788620736195723e-08,3.248838469408442
-4.4600461050326e-05,-0.2400000000000002,0.486860175971488,-1.11501152625815e-08,3.2386889025572847
-4.217888352833597e-05,-0.23499999999999988,0.48169769955930286,-1.0544720882083994e-08,3.228526425539705
-3.9882725371312686e-05,-0.22999999999999998,0.4765211728885961,-9.970681342828171e-09,3.2183498982949588
-3.7705329825463754e-05,-0.2250000000000001,0.47132935057087244,-9.426332456365938e-09,3.2081580754328862
-3.5640388968111075e-05,-0.2200000000000002,0.46612087131048086,-8.910097242027768e-09,3.19794959565626
-3.3681925306225004e-05,-0.21499999999999986,0.46089424611112817,-8.420481326556251e-09,3.1877229699672904
-3.18242743423193e-05,-0.20999999999999996,0.45564784509931144,-7.956068585579825e-09,3.1774765684910613
-3.0062068056755775e-05,-0.20500000000000007,0.4503798827695412,-7.515517014188944e-09,3.16720860572074
-2.8390219258199197e-05,-0.20000000000000018,0.4450884014229156,-7.0975548145498e-09,3.156917123956152
-2.6803906756492043e-05,-0.19499999999999984,0.43977125253044946,-6.700976689123011e-09,3.146599974667107
-2.529856131463519e-05,-0.18999999999999995,0.4344260757041464,-6.324640328658798e-09,3.136254797464468
-2.3869852338826205e-05,-0.18500000000000005,0.42905027489994985,-5.9674630847065515e-09,3.1258789963030944
-2.2513675267681164e-05,-0.18000000000000016,0.42364099140503375,-5.628418816920291e-09,3.115469712469134
-2.122613962380017e-05,-0.17499999999999982,0.41819507307395776,-5.3065349059500414e-09,3.1050237938161738
-2.0003557692777265e-05,-0.16999999999999993,0.4127090391698862,-5.000889423194316e-09,3.0945377596064567
-1.8842433796595328e-05,-0.16500000000000004,0.40717904003285554,-4.710608449148832e-09,3.084007760179145
-1.773945413007968e-05,-0.16000000000000014,0.4016008106297173,-4.43486353251992e-09,3.0734295305002624
-1.6691477130735403e-05,-0.1549999999999998,0.3959696168305057,-4.172869282683851e-09,3.062798336439056
-1.5695524353853538e-05,-0.1499999999999999,0.3902801929909614,-3.923881088463384e-09,3.0521089123505236
-1.4748771826247685e-05,-0.14500000000000002,0.3845266690839506,-3.687192956561921e-09,3.041355388206825
-1.3848541853387799e-05,-0.14000000000000012,0.37870248519087024,-3.4621354633469496e-09,3.030531204088687
-1.299229525601932e-05,-0.1349999999999998,0.37280029060671793,-3.24807381400483e-09,3.019629009290473
-1.2177624013619272e-05,-0.1299999999999999,0.36681182408675417,-3.044406003404818e-09,3.0086405425668414
-1.1402244293224071e-05,-0.125,0.36072777080894036,-2.8505610733060177e-09,2.997556489095183
